1983,-739,549,76510,69300,-56490,3
-754,-214,597,157360,188580,-241570,3
-1937,-5,582,27510,-75530,195020,3
1997,-1046,953,-217210,-181720,184380,3
623,-322,467,123270,216650,-148750,3
-1998,-287,1016,-98210,14280,-115850,3
368,-649,783,-142240,-171080,302680,3
1997,-908,500,56770,1890,-53270,3
-1164,-417,548,191450,203210,-274260,3
-1346,121,371,60620,-119840,203980,3
1997,-996,918,-165480,-114030,70700,3
326,-588,602,173320,214690,-216790,3
-1998,125,735,-130690,-34580,-16380,3
946,-796,1207,-201390,-145390,256340,3
1697,-878,670,115010,99330,-83230,3
-1841,-93,702,-2450,73780,-193900,3
-898,-163,543,28630,-77980,231980,3
1997,-957,993,-4900,-34790,-11970,3
310,-502,586,88550,83580,-234990,3
-1962,-116,874,-64610,-66920,93310,3
1075,-605,645,-192710,-215600,221900,3
1252,-806,582,174020,187670,-187320,3
-1998,46,724,-142450,14000,-53690,3
-134,-578,699,-45570,-154350,306740,3
1962,-1032,851,74690,61740,-53550,3
104,-475,258,164080,245630,-274330,3
-1288,-67,638,9870,-150990,166390,3
1727,-801,616,-196910,-229390,245140,3
939,-643,621,161210,196210,-192500,3
-1848,-83,906,-80360,101290,-153860,3
-230,-444,768,-33180,-114170,258650,3
1997,-1018,668,13440,59500,-30870,3
-472,-395,500,179620,206500,-268730,3
-1309,18,566,22610,-77770,156170,3
1187,-801,811,-229390,-266280,243460,3
1614,-848,699,140420,120330,-125020,3
-1978,131,268,145600,195720,-291620,3
-637,-285,744,28420,-112700,261730,3
1997,-1313,1035,-243530,-113120,58590,3
202,-474,523,140420,191590,-246610,3
-1998,77,781,-129640,-59570,-7000,3
1131,-720,854,-223160,-208530,231140,3
1423,-871,965,150850,96460,-143150,3
-1997,174,386,102340,123900,-278390,3
-60,-493,849,-21910,-119140,296240,3
1997,-1243,928,-118580,-21770,26180,3
-889,-304,623,113400,140700,-269710,3
-1574,48,555,26950,-73710,124040,3
1668,-705,948,-179550,-166880,148050,3
1220,-674,706,171290,121030,-131600,3
-1928,15,697,-20300,71890,-170380,3
-814,-50,671,48230,-121800,200340,3
1997,-849,981,-124810,-94850,62720,3
322,-488,401,146860,190890,-248010,3
-1876,63,797,-58730,420,-22610,3
534,-619,648,-107660,-182980,266070,3
1987,-815,824,68740,89040,-57400,3
